Year,mode,input_panel_orientation,capacity_source,round,received_demand_total,desired_output_total,realized_output_total,unmet_capacity_total,capacity_penalty_total,supplier_demand_total,absolute_supplier_demand_total,residual_share,mean_capacity_stress,median_capacity_stress,share_capacity_binding,share_capacity_missing,converged
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,13,5845724.453499734,5845724.453499734,5845724.453499734,0.0,0.0,3728453.1701411936,3728453.1701411936,0.00013213759325117407,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,14,3728453.1701411936,3728453.1701411936,3728453.1701411936,0.0,0.0,2538978.896895874,2538978.896895874,8.998223806003622e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,15,2538978.896895874,2538978.896895874,2538978.896895874,0.0,0.0,1852810.7717647122,1852810.7717647122,6.566421648835356e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,16,1852810.7717647122,1852810.7717647122,1852810.7717647122,0.0,0.0,1442130.2742530564,1442130.2742530564,5.1109566058258455e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,17,1442130.2742530564,1442130.2742530564,1442130.2742530564,0.0,0.0,1184127.2194957978,1184127.2194957978,4.1965853866807225e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,18,1184127.2194957978,1184127.2194957978,1184127.2194957978,0.0,0.0,1012236.2209126292,1012236.2209126292,3.5873980959238766e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,19,1012236.2209126292,1012236.2209126292,1012236.2209126292,0.0,0.0,890122.9108598401,890122.9108598401,3.154624552634371e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,20,890122.9108598401,890122.9108598401,890122.9108598401,0.0,0.0,797766.9167662226,797766.9167662226,2.8273119051380328e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,21,797766.9167662226,797766.9167662226,797766.9167662226,0.0,0.0,723994.0826757728,723994.0826757728,2.5658585812208374e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,22,723994.0826757728,723994.0826757728,723994.0826757728,0.0,0.0,662456.1265285959,662456.1265285959,2.3477660627468476e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,23,662456.1265285959,662456.1265285959,662456.1265285959,0.0,0.0,609458.129749161,609458.129749161,2.159939438085157e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,24,609458.129749161,609458.129749161,609458.129749161,0.0,0.0,562779.3237321699,562779.3237321699,1.9945082310548686e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,25,562779.3237321699,562779.3237321699,562779.3237321699,0.0,0.0,521029.50886697235,521029.50886697235,1.8465455290113187e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,26,521029.50886697235,521029.50886697235,521029.50886697235,0.0,0.0,483295.35065264435,483295.35065264435,1.712814444771591e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,27,483295.35065264435,483295.35065264435,483295.35065264435,0.0,0.0,448944.2182689479,448944.2182689479,1.591072914128678e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,28,448944.2182689479,448944.2182689479,448944.2182689479,0.0,0.0,417514.0865113249,417514.0865113249,1.4796835047275044e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,29,417514.0865113249,417514.0865113249,417514.0865113249,0.0,0.0,388650.7574341653,388650.7574341653,1.3773909275264322e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,30,388650.7574341653,388650.7574341653,388650.7574341653,0.0,0.0,362071.3154335036,362071.3154335036,1.2831925204214932e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,31,362071.3154335036,362071.3154335036,362071.3154335036,0.0,0.0,337542.282659711,337542.282659711,1.1962608303183458e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,32,337542.282659711,337542.282659711,337542.282659711,0.0,0.0,314866.1279478393,314866.1279478393,1.115895800342536e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,33,314866.1279478393,314866.1279478393,314866.1279478393,0.0,0.0,293872.6093423304,293872.6093423304,1.0414940874654331e-05,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,34,293872.6093423304,293872.6093423304,293872.6093423304,0.0,0.0,274412.9785772753,274412.9785772753,9.725285229937326e-06,1.0,1.0,0.0,0.0,False
